Rank	Time	Wind	First.Name	Last.Name	Country	Birthdate	Race	Location	Date
1	1	10.49	0.0	Florence	Griffith-Joyner	USA	21.12.59	1q1	Indianapolis	16.07.1988
2	2	10.61	1.2	Florence	Griffith-Joyner	USA	21.12.59	1	Indianapolis	17.07.1988
3	3	10.62	1.0	Florence	Griffith-Joyner	USA	21.12.59	1q3	Seoul	24.09.1988
4	4	10.64	1.2	Carmelita	Jeter	USA	24.11.79	1	Shanghai	20.09.2009
5	5	10.65	1.1	Marion	Jones	USA	12.10.75	1	Johannesburg	12.09.1998
6	6	10.67	-0.1	Carmelita	Jeter	USA	24.11.79	1	Thessaloniki	13.09.2009
7	7	10.7	1.6	Florence	Griffith-Joyner	USA	21.12.59	1s1	Indianapolis	17.07.1988
8	7	10.7	-0.1	Marion	Jones	USA	12.10.75	1	Sevilla	22.08.1999
9	7	10.7	2.0	Carmelita	Jeter	USA	24.11.79	1	Eugene	04.06.2011
10	7	10.7	0.6	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1	Kingston	29.06.2012
11	7	10.7	0.3	Elaine	Thompson	JAM	28.06.92	1	Kingston	01.07.2016
12	12	10.71	0.1	Marion	Jones	USA	12.10.75	1	Chengdu	12.05.1998
13	12	10.71	2.0	Marion	Jones	USA	12.10.75	1s2	NewOrleans	19.06.1998
14	12	10.71	-0.3	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1	Moskva	12.08.2013
15	12	10.71	0.5	Elaine	Thompson	JAM	28.06.92	1	RiodeJaneiro	13.08.2016
16	12	10.71	0.8	Elaine	Thompson	JAM	28.06.92	1	Kingston	23.06.2017
17	17	10.72	2.0	Marion	Jones	USA	12.10.75	1	NewOrleans	20.06.1998
18	17	10.72	0.0	Marion	Jones	USA	12.10.75	1	Monaco	08.08.1998
19	17	10.72	0.0	Marion	Jones	USA	12.10.75	1	Lausanne	25.08.1998
20	17	10.72	-0.3	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1	Bruxelles	06.09.2013
21	17	10.72	0.6	Elaine	Thompson	JAM	28.06.92	1	Bruxelles	09.09.2016
22	22	10.73	2.0	Christine	Arron	FRA	13.09.73	1	Budapest	19.08.1998
23	22	10.73	0.1	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1	Berlin	17.08.2009
24	24	10.74	1.3	Merlene	Ottey	JAM	10.05.60	1	Milano	07.09.1996
25	24	10.74	0.2	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1	Saint-Denis	04.07.2015
26	24	10.74	1.0	English	Gardner	USA	22.04.92	1	Eugene	03.07.2016
27	27	10.75	0.6	Marion	Jones	USA	12.10.75	1	Roma	14.07.1998
28	27	10.75	0.4	Kerron	Stewart	JAM	16.04.84	1	Roma	10.07.2009
29	27	10.75	0.1	Kerron	Stewart	JAM	16.04.84	2	Berlin	17.08.2009
30	27	10.75	1.5	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1	London	04.08.2012
31	31	10.76	1.7	Evelyn	Ashford	USA	15.04.57	1	Zurich	22.08.1984
32	31	10.76	0.9	Marion	Jones	USA	12.10.75	1	Bruxelles	22.08.1997
33	31	10.76	0.3	Marion	Jones	USA	12.10.75	1q4	Sevilla	21.08.1999
34	31	10.76	1.1	Veronica	Campbell-Brown	JAM	16.05.82	1	Ostrava	31.05.2011
35	31	10.76	-0.3	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1	Beijing	24.08.2015
36	36	10.77	0.9	Irina	Privalova	RUS	12.11.68	1	Lausanne	06.07.1994
37	36	10.77	-0.9	Marion	Jones	USA	12.10.75	1rA	Zurich	12.08.1998
38	36	10.77	0.7	Ivet	Lalova-Collio	BUL	18.05.84	1	Plovdiv	19.06.2004
39	36	10.77	0.7	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1h1	London	27.07.2013
40	40	10.78	1.0	Dawn	Sowell	USA	27.03.66	1	Provo	03.06.1989
41	40	10.78	1.7	Merlene	Ottey	JAM	10.05.60	1	Sevilla	30.05.1990
42	40	10.78	0.4	Merlene	Ottey	JAM	10.05.60	1	Paris	03.09.1994
43	40	10.78	1.1	Marion	Jones	USA	12.10.75	1	London	05.08.2000
44	40	10.78	1.8	Torri	Edwards	USA	31.01.77	1s2	Eugene	28.06.2008
45	40	10.78	0.0	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1	Beijing	17.08.2008
46	40	10.78	0.8	Veronica	Campbell-Brown	JAM	16.05.82	1	Eugene	03.07.2010
47	40	10.78	0.4	Carmelita	Jeter	USA	24.11.79	1	Bruxelles	16.09.2011
48	40	10.78	1.5	Carmelita	Jeter	USA	24.11.79	2	London	04.08.2012
49	40	10.78	1.6	Murielle	Ahoure;	CIV	23.08.87	1r1	Montverde	11.06.2016
50	40	10.78	1.0	Tianna	Bartoletta	USA	30.08.85	2	Eugene	03.07.2016
51	40	10.78	1.0	Tori	Bowie	USA	27.08.90	3	Eugene	03.07.2016
52	40	10.78	0.8	Elaine	Thompson	JAM	28.06.92	1rA	Lausanne	25.08.2016
53	40	10.78	-0.3	Elaine	Thompson	JAM	28.06.92	1	Shanghai	13.05.2017
54	54	10.79	0.6	Evelyn	Ashford	USA	15.04.57	1	ColoradoSprings	03.07.1983
55	54	10.79	1.7	Merlene	Ottey	JAM	10.05.60	1	Vigo	23.07.1991
56	54	10.79	0.0	Li	Xuemei	CHN	05.01.77	1	Shanghai	18.10.1997
57	54	10.79	-0.6	Marion	Jones	USA	12.10.75	1	Osaka	09.05.1998
58	54	10.79	-0.1	Inger	Miller	USA	12.06.72	2	Sevilla	22.08.1999
59	54	10.79	-0.1	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1s1	Berlin	17.08.2009
60	54	10.79	1.1	Blessing	Okagbare	NGR	10.09.88	1	London	27.07.2013
61	54	10.79	1.5	English	Gardner	USA	22.04.92	1s1	Eugene	26.06.2015
62	54	10.79	0.4	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1	Kingston	26.06.2015
63	63	10.8	1.6	Merlene	Ottey	JAM	10.05.60	1	Salamanca	13.07.1992
64	63	10.8	-0.8	Marion	Jones	USA	12.10.75	1	Bruxelles	28.08.1998
65	63	10.8	1.1	Marion	Jones	USA	12.10.75	1	Lausanne	02.07.1999
66	63	10.8	1.4	Marion	Jones	USA	12.10.75	1	London	07.08.1999
67	63	10.8	0.7	Kerron	Stewart	JAM	16.04.84	1	Kingston	28.06.2008
68	63	10.8	0.8	Tori	Bowie	USA	27.08.90	1	Monaco	18.07.2014
69	63	10.8	0.2	Blessing	Okagbare	NGR	10.09.88	2	Saint-Denis	04.07.2015
70	63	10.8	0.7	Tori	Bowie	USA	27.08.90	1	Ad-Dawhah	06.05.2016
71	71	10.81	1.7	Marlies	Gohr	GDR	21.03.58	1	Berlin	08.06.1983
72	71	10.81	1.2	Evelyn	Ashford	USA	15.04.57	2	Indianapolis	17.07.1988
73	71	10.81	0.8	Marion	Jones	USA	12.10.75	1	Berlin	26.08.1997
74	71	10.81	1.3	Christine	Arron	FRA	13.09.73	1s1	Budapest	19.08.1998
75	71	10.81	0.2	Marion	Jones	USA	12.10.75	1	Berlin	01.09.1998
76	71	10.81	0.1	Inger	Miller	USA	12.06.72	1s1	Sevilla	22.08.1999
77	71	10.81	1.0	Carmelita	Jeter	USA	24.11.79	1	Kingston	05.05.2012
78	71	10.81	1.5	Veronica	Campbell-Brown	JAM	16.05.82	3	London	04.08.2012
79	71	10.81	0.7	Carmelita	Jeter	USA	24.11.79	1	Birmingham	26.08.2012
80	71	10.81	1.7	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1rA	Eugene	30.05.2015
81	71	10.81	1.7	Murielle	Ahoure	CIV	23.08.87	2rA	Eugene	30.05.2015
82	71	10.81	1.2	Tori	Bowie	USA	27.08.90	1	Eugene	26.06.2015
83	71	10.81	-0.3	Dafne	Schippers	NED	15.06.92	2	Beijing	24.08.2015
84	71	10.81	1.5	English	Gardner	USA	22.04.92	1	Eugene	28.05.2016
85	85	10.82	1.4	Merlene	Ottey	JAM	10.05.60	1	Berlin	17.08.1990
86	85	10.82	2.0	Irina	Privalova	RUS	12.11.68	1	Moskva	22.06.1992
87	85	10.82	-1.0	Gail	Devers	USA	19.11.66	1	Barcelona	01.08.1992
88	85	10.82	1.5	Gail	Devers	USA	19.11.66	1	Lausanne	07.07.1993
89	85	10.82	-0.3	Gail	Devers	USA	19.11.66	1	Stuttgart	16.08.1993
90	85	10.82	-0.3	Merlene	Ottey	JAM	10.05.60	2	Stuttgart	16.08.1993
91	85	10.82	0.4	Gwen	Torrence	USA	12.06.65	2	Paris	03.09.1994
92	85	10.82	1.1	Gwen	Torrence	USA	12.06.65	1	Atlanta	15.06.1996
93	85	10.82	-0.5	Marion	Jones	USA	12.10.75	1	Oslo	09.07.1998
94	85	10.82	-0.3	Zhanna	Block	UKR	06.07.72	1	Edmonton	06.08.2001
95	85	10.82	-0.7	Sherone	Simpson	JAM	12.08.84	1	Kingston	24.06.2006
96	85	10.82	0.8	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	2	Eugene	03.07.2010
97	85	10.82	0.4	Carmelita	Jeter	USA	24.11.79	1	Monaco	22.07.2010
98	85	10.82	0.6	Veronica	Campbell-Brown	JAM	16.05.82	2	Kingston	29.06.2012
99	85	10.82	1.7	Tori	Bowie	USA	27.08.90	3rA	Eugene	30.05.2015
100	85	10.82	0.5	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1s1	Beijing	24.08.2015
101	85	10.82	0.9	Michelle-Lee	Ahye	TTO	10.04.92	1	PortofSpain	24.06.2017
102	102	10.83	1.7	Marita	Koch	GDR	18.02.57	2	Berlin	08.06.1983
103	102	10.83	0.0	Sheila	Echols	USA	02.10.64	1q2	Indianapolis	16.07.1988
104	102	10.83	-1.0	Juliet	Cuthbert	JAM	09.04.64	2	Barcelona	01.08.1992
105	102	10.83	0.0	Gwen	Torrence	USA	12.06.65	1	Bruxelles	19.08.1994
106	102	10.83	1.3	Gail	Devers	USA	19.11.66	2	Milano	07.09.1996
107	102	10.83	0.4	Marion	Jones	USA	12.10.75	1	Athinai	03.08.1997
108	102	10.83	0.9	Merlene	Ottey	JAM	10.05.60	2	Bruxelles	22.08.1997
109	102	10.83	-0.4	Merlene	Ottey	JAM	10.05.60	1	Tokyo	06.09.1997
110	102	10.83	2.0	Irina	Privalova	RUS	12.11.68	2	Budapest	19.08.1998
111	102	10.83	0.4	Marion	Jones	USA	12.10.75	1	Moskva	05.09.1998
112	102	10.83	-0.1	Marion	Jones	USA	12.10.75	1s2	Sevilla	22.08.1999
113	102	10.83	0.1	Ekaterini	Thanou	GRE	01.02.75	2s1	Sevilla	22.08.1999
114	102	10.83	-1.3	Marion	Jones	USA	12.10.75	1rA	Bruxelles	25.08.2000
115	102	10.83	0.4	Zhanna	Block	UKR	06.07.72	1r2	Heusden-Zolder	20.07.2002
116	102	10.83	-0.1	Carmelita	Jeter	USA	24.11.79	1s2	Berlin	17.08.2009
117	102	10.83	-0.4	Carmelita	Jeter	USA	24.11.79	1	Daegu	25.09.2009
118	102	10.83	0.8	Carmelita	Jeter	USA	24.11.79	3	Eugene	03.07.2010
119	102	10.83	1.5	Carmelita	Jeter	USA	24.11.79	1h2	London	03.08.2012
120	102	10.83	0.0	Carmelita	Jeter	USA	24.11.79	1s1	London	04.08.2012
121	102	10.83	-0.4	Shelly-Ann	Fraser-Pryce	JAM	27.12.86	1	Zurich	30.08.2012
122	102	10.83	1.6	Kelly-Ann	Baptiste	TTO	14.10.86	1r2	PortofSpain	22.06.2013
123	102	10.83	-0.2	Dafne	Schippers	NED	15.06.92	1s3	Beijing	24.08.2015
124	102	10.83	0.7	Dafne	Schippers	NED	15.06.92	2	Ad-Dawhah	06.05.2016
125	102	10.83	1.6	Veronica	Campbell-Brown	JAM	16.05.82	2r1	Montverde	11.06.2016
126	102	10.83	0.5	Tori	Bowie	USA	27.08.90	2	RiodeJaneiro	13.08.2016
127	102	10.83	1.1	Murielle	Ahoure	CIV	23.08.87	1rA	Montverde	10.06.2017
128	128	10.84	1.7	Marlies	Gohr	GDR	21.03.58	2	Zurich	22.08.1984
129	128	10.84	0.0	Merlene	Ottey	JAM	10.05.60	1	Lausanne	10.07.1991
130	128	10.84	0.2	Merlene	Ottey	JAM	10.05.60	1	Berlin	10.09.1991
131	128	10.84	1.3	Chioma	Ajunwa	NGR	25.12.70	1	Lagos	11.04.1992
132	128	10.84	-1.0	Irina	Privalova	RUS	12.11.68	3	Barcelona	01.08.1992
133	128	10.84	1.4	Gwen	Torrence	USA	12.06.65	1s1	Goteborg	07.08.1995
134	128	10.84	-0.5	Gail	Devers	USA	19.11.66	1	Bruxelles	23.08.1996
135	128	10.84	0.3	Marion	Jones	USA	12.10.75	1	Linz	05.07.1998
136	128	10.84	-0.1	Ekaterini	Thanou	GRE	01.02.75	3	Sevilla	22.08.1999
137	128	10.84	-0.7	Marion	Jones	USA	12.10.75	1	Osaka	13.05.2000
138	128	10.84	0.6	Zhanna	Block	UKR	06.07.72	1	Rethymno	07.07.2002
